ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Site ID,Other - Site ID,Date,Observer Type,Observer Name,Other - Observer Name,Survey Type,GPS track recorded,Bearing,Wind (km/h),Dominant Shrub,Dominant Understory,Start time,Time to first detection,First detection type,Fresh squirrel scat samples collected,Fresh jackrabbit scat samples collected,Comments/Notes,x,y
1,53bfe57f-b856-4d48-8bc1-81e08233a443,10/20/2025 3:14:31 PM,,10/20/2025 3:14:31 PM,,SRHALP3,,5/1/2025 6:00:00 PM,Technician,Mariah Hoel,,Day 2 Random,,,,,,15:56,00:00,,0,0,,0,0
2,3936af61-1dce-47e3-844d-cf4148a247a2,10/26/2025 5:05:17 PM,,10/26/2025 5:05:17 PM,,65641,,3/29/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Transect,YES,345,,,,15:48,03:58,,0,0,,0,0
3,509513d4-8a51-47ab-8b71-e54319c5e1d1,10/26/2025 5:07:01 PM,,10/26/2025 5:07:01 PM,,42854,,3/29/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 1 Transect,YES,145,12.9,,,09:55,10:05,,0,0,,0,0
4,974fe48e-9d77-40fe-8d61-dc2e767aa3ec,10/26/2025 5:13:52 PM,,10/26/2025 5:13:52 PM,,74041,,3/30/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 1 Random,,,7.9,,,10:35,10:40,,0,0,Lots of winterfat in the pivot,0,0
5,774b4338-1b82-4541-8c53-4f8138accf1e,10/26/2025 5:14:11 PM,,10/26/2025 5:14:11 PM,,65602,,3/30/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 2 Random,,,6.8,,,12:41,12:46,,0,0,"Difficult to get to, no activity, possibly avoid using for null sites",0,0
6,801dbbac-43bc-4aab-8341-72c1f623e42d,10/26/2025 5:14:31 PM,,10/26/2025 5:14:31 PM,,58376,,3/30/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 2 Random,,,12.2,,,14:38,14:43,,0,0,Very high pronghorn activity,0,0
7,e1499853-34d2-4b95-8a9c-c3be167d7a50,10/26/2025 5:14:54 PM,,10/26/2025 5:14:54 PM,,GS17H,,3/30/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 2 Random,,,9.2,,,15:26,15:31,,0,0,,0,0
8,1a749cfe-2199-4bb6-8b01-8f21f0edf8f4,10/26/2025 5:15:09 PM,,10/26/2025 5:15:09 PM,,SSHPLA4,,4/5/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 2 Random,,,5.5,,,12:18,12:23,,0,0,,0,0
9,53993515-edf3-4b36-8895-788dbf078f54,10/26/2025 5:15:20 PM,,10/26/2025 5:15:20 PM,,34441,,4/5/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 2 Random,,,12,,,10:31,10:36,,0,0,,0,0
10,eb081b54-aac2-4513-8e2a-d7ffb7ec6746,10/26/2025 5:19:46 PM,,10/26/2025 5:19:46 PM,,50041,,3/29/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 1 Random,,,9.6,,,15:03,15:08,,0,0,,0,0
11,b9c2e9ec-c5c1-4583-8548-5a127c11bd99,10/26/2025 5:22:59 PM,,10/26/2025 5:22:59 PM,,SSHALP1,,3/29/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 1 Random,,,12.01,,,11:13,11:18,,0,0,Rabbit scat collected,0,0
12,e41a5382-89bc-4908-88e6-faea19bdc711,10/26/2025 5:28:30 PM,,10/26/2025 5:28:30 PM,,SSHALP1,,3/29/2025 6:00:00 PM,Lead,Jessica Hovey,,Day 1 Random,,,10.8,,,13:54,13:59,,0,0,"Short-eared owl remains (feathers connected). Found in the site, most likely predation.",0,0
13,72c209c9-f309-434d-8a66-0097eb0ceba4,10/26/2025 5:31:32 PM,,10/26/2025 5:31:32 PM,,50067,,3/29/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Transect,YES,65,,,,12:29,12:39,,0,0,,0,0
14,4c4c55dd-aed7-43d6-83f4-8f4231b4e7b9,10/26/2025 5:32:28 PM,,10/26/2025 5:32:28 PM,,50067,,3/29/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Random,,,,,,12:40,12:45,,0,0,,0,0
15,41cd6a96-e998-4126-8886-98818aaa2117,10/26/2025 5:34:08 PM,,10/26/2025 5:34:08 PM,,50041,,3/29/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Transect,YES,280,,,,14:49,14:59,,0,0,,0,0
16,c0d0dcdb-4a7d-4988-89e8-49469ed4a5fa,10/26/2025 5:34:57 PM,,10/26/2025 5:34:57 PM,,50041,,3/29/2025 6:00:00 PM,Technician,Stefanie Buxel,,Day 1 Random,,,,,,15:02,15:07,,0,0,,0,0
17,351a904d-e0ae-4fcb-8d23-2811f6c6a596,10/26/2025 5:36:14 PM,,10/26/2025 5:36:14 PM,,42776,,4/1/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,15:09,15:14,,0,0,,0,0
18,3aa06ca0-0e39-4237-8270-11cd94263090,10/26/2025 5:37:14 PM,,10/26/2025 5:37:14 PM,,49950,,4/1/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,14:10,14:15,,0,0,,0,0
19,47329938-6b02-441f-8a20-d38c7a0e1ff6,10/26/2025 5:38:12 PM,,10/26/2025 5:38:12 PM,,42750,,4/1/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,13:18,13:23,,0,0,,0,0
20,7f6f1e88-c70b-4c05-8c2d-05283c1ed7ae,10/26/2025 5:38:55 PM,,10/26/2025 5:38:55 PM,,49963,,4/1/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,12:35,12:40,,0,0,,0,0
21,9753405a-8be8-4f59-8e20-1b85d7a7cb04,10/26/2025 5:39:37 PM,,10/26/2025 5:39:37 PM,,18763,,4/1/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,10:54,10:59,,0,0,,0,0
22,2dc8078f-a170-4e3e-8f44-7567bf22cc42,10/26/2025 5:42:42 PM,,10/26/2025 5:42:42 PM,,96946,,3/30/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Transect,YES,112,,,,11:52,12:02,,0,0,Squirrels heard before the transect area,0,0
23,1decc520-6e01-4774-8348-7269af020de4,10/26/2025 5:47:43 PM,,10/26/2025 5:47:43 PM,,96946,,3/30/2025 6:00:00 PM,Technician,Sydney Smith,,Day 1 Random,,,,,,12:01,12:06,,0,0,Squirrels heard before the transect area,0,0
24,fc667331-425c-4bb4-89d3-da0f89fb86e4,10/26/2025 5:56:26 PM,,10/26/2025 5:56:26 PM,,GS03M,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,02:34,02:41,Auditory,0,0,,0,0
25,aa29e3db-6b06-4983-8b87-ee357f65d19f,10/26/2025 5:58:45 PM,,10/26/2025 5:58:45 PM,,112585,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,13:55,14:00,,0,0,,0,0
26,04109119-dca0-4a94-88b1-aec0fdad9533,10/26/2025 6:01:32 PM,,10/26/2025 6:01:32 PM,,120985,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,13:03,01:08,,0,0,,0,0
27,9e365dfe-df3a-41c5-8069-4d829f036580,10/26/2025 6:04:14 PM,,10/26/2025 6:04:14 PM,,112559,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,12:18,12:23,Active burrow,0,0,,0,0
28,8a6a1c03-cecd-4c8e-8c6c-8a7193f35a42,10/26/2025 6:09:10 PM,,10/26/2025 6:09:10 PM,,112546,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,11:43,11:48,,0,0,,0,0
29,1815fd9a-8a0f-4841-80b8-60a59f1e9dab,10/26/2025 6:10:52 PM,,10/26/2025 6:10:52 PM,,112533,,4/3/2025 6:00:00 PM,Technician,Dylan Hendry,,Day 2 Random,,,,,,11:05,11:10,,0,0,,0,0
